imdb_title_id,title,year,date_published,genre,duration,country,language,director,writer,production_company,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt0017938,La glace à trois faces,1983,1983-03-13,"Drama, Romance",45,France,"None, French",Jean Epstein,"Jean Epstein, Paul Morand",Films Jean Epstein,7.0,759,,,,,7.0,4.0
tt0035423,Kate & Leopold,2001,2002-03-01,"Comedy, Fantasy, Romance",118,USA,"English, French",James Mangold,"Steven Rogers, James Mangold",Konrad Pictures,6.4,77852,$ 48000000,$ 47121859,$ 76019048,44.0,341.0,115.0
tt0036606,"Another time, another place - Una storia d'amore",1983,1983-07-15,"Drama, War",118,UK,"English, Italian",Michael Radford,"Jessie Kesson, John Francis Lane",Associated-Rediffusion Television,6.5,252,,,,,3.0,10.0
tt0062181,Mani in alto!,1981,1985-01-21,Drama,76,Poland,Polish,Jerzy Skolimowski,"Andrzej Kostenko, Jerzy Skolimowski",Arte France Cinéma,6.5,296,,,,,2.0,6.0
tt0064730,Nihon boryoku-dan: Kumicho,2000,1969,"Action, Crime",97,Japan,Japanese,Kinji Fukasaku,"Kinji Fukasaku, Fumio Kônami",Toei Company,7.0,168,,,,,3.0,5.0
tt0064820,Tutti contro Harry,1989,1990-05-16,Comedy,81,USA,English,Michael Roemer,Michael Roemer,King Screen Productions,6.8,280,,$ 274182,,,6.0,13.0
tt0066020,7 xiao fu,1986,1986-06-28,"Action, Comedy",80,Taiwan,Mandarin,Chen-Kuo Chao,Ching Kang Yao,,6.7,231,,,,,7.0,1.0
tt0066498,L'orecchio,1990,1990-10-18,"Drama, Thriller",94,Czechoslovakia,"Czech, Russian",Karel Kachyna,"Karel Kachyna, Jan Procházka",Filmové studio Barrandov,7.8,2418,,,,,14.0,40.0
tt0067100,Firecracker,1981,1981-05-01,"Action, Drama, Thriller",77,"USA, Philippines",English,Cirio H. Santiago,"Ken Metcalfe, Cirio H. Santiago",New World Pictures,5.7,536,,,,,18.0,29.0
tt0067625,Proverka na dorogakh,1986,1986-04-01,"Drama, War",96,Soviet Union,"Russian, German",Aleksey German,"Yuri German, Eduard Volodarskiy",Lenfilm Studio,7.9,1885,,,,,7.0,6.0
tt0069049,L'altra faccia del vento,2018,2018-11-02,Drama,122,"France, Iran, USA","English, German",Orson Welles,"Orson Welles, Oja Kodar",Royal Road Entertainment,6.8,5887,,,,78.0,81.0,98.0
tt0072173,Malibu Hot Summer,1981,1981,"Comedy, Romance",90,USA,English,Richard Brander,Craig Kusaba,Troma,2.6,657,,,,,11.0,6.0
tt0073537,A doppia esposizione,1982,1983-11-09,"Crime, Horror",100,USA,English,William Byron Hillman,William Byron Hillman,Crown International Pictures,5.0,599,$ 1000000,,,,21.0,30.0
tt0073604,Rana: The Legend of Shadow Lake,1981,1981,"Adventure, Comedy, Horror",96,USA,English,Bill Rebane,"Lyoma Denetz, Jerry Gregoris",Galaxy One Productions,2.9,423,,,,,11.0,22.0
tt0075035,Bakterion,1982,1982-12-07,"Horror, Sci-Fi",90,"Italy, Spain",Italian,Tonino Ricci,"Víctor Andrés Catena, Jaime Comas Gil",Arco Films,3.3,563,,,,,32.0,18.0
tt0075816,Casta e pura,1981,1981-11-05,Comedy,88,"Italy, France, Spain",Italian,Salvatore Samperi,"Bruno Di Geronimo, Michel Gast",International Apollo Films,5.4,161,,,,,2.0,
tt0075859,Bruce Lee - Il volto della vendetta,1980,1980-08-14,"Action, Drama",91,"Hong Kong, Philippines","Mandarin, English",Joseph Velasco,Kuang-Hsin Wu,Spectacular Films,4.3,312,,,,,12.0,19.0
tt0076035,Tai ji ba jiao,1982,1982-10-22,Action,89,Hong Kong,"Mandarin, Cantonese",Wu Ma,Hsiang Kan Chu,Wha Tai Motion Picture Co.,5.5,131,,,,,7.0,10.0
tt0076276,Ko to tamo peva,1980,1980-06-30,"Adventure, Comedy, Drama",86,Yugoslavia,Serbo-Croatian,Slobodan Sijan,Dusan Kovacevic,Centar Film,8.9,13665,,,,,35.0,9.0
tt0076580,Qian zuo guai,1980,1980-07-10,"Comedy, Action, Adventure",101,Hong Kong,Cantonese,John Woo,"John Woo, John Woo",Golden Harvest Company,5.4,105,,,,,2.0,3.0
tt0076694,Yong zheng ming zhang Shao Lin men,1981,1981,Action,91,Taiwan,Mandarin,Cheng Hou,"Wei-Min Chiang, C.Y. Yang",Hai Hua Cinema Company,5.8,102,,,,,4.0,6.0
tt0076709,L'ultima sfida di Bruce Lee,1981,1981-03-21,"Action, Crime, Mystery",96,Hong Kong,Cantonese,"See-Yuen Ng, Sammo Kam-Bo Hung","Tin Shing Hoh, Chuo-Lun Ting",Seasonal Film Corporation,5.2,2805,,,,,32.0,26.0
tt0077428,It Rained All Night the Day I Left,1980,1980-08-06,"Comedy, Crime",95,"Canada, France, Israel",English,Nicolas Gessner,"Ted Allan, Pierre Pelegri",Les Films Caneuram,5.0,102,CAD 5000000,,,,2.0,1.0
tt0077645,La sfida del tigre,1980,1980,"Action, Thriller",87,"Italy, USA, Hong Kong","English, Mandarin","Bruce Le, Luigi Batzella","Bruce Le, Fan Pan",Dragon Films Company,5.2,321,,,,,12.0,13.0
tt0077731,Messo comunale praticamente spione,1982,1982,Comedy,90,Italy,Italian,Mario Bianchi,"Luigi Petrini, Luigi Petrini",Cinevideo 80,4.1,172,,,,,9.0,3.0
tt0077883,L'amore tra le gocce di pioggia,1980,1980-05-01,"Comedy, Drama, Romance",126,Czechoslovakia,Czech,Karel Kachyna,"Jan Otcenásek, Jan Otcenásek",Filmové studio Barrandov,7.2,200,,,,,,2.0
tt0078053,Ópalo de fuego: Mercaderes del sexo,1980,1980-05-01,Thriller,96,"Spain, Portugal",Spanish,Jesús Franco,"Jesús Franco, Jesús Franco",C.I.D.C. Altamira Fil Altamira Films,4.5,158,,,,,3.0,13.0
tt0078113,Primitiv,1980,1980-03-07,"Adventure, Horror",90,Indonesia,Indonesian,Sisworo Gautama Putra,Imam Tantowi,Rapi Films,2.9,298,,,,,15.0,9.0
tt0078349,Il lago dei cigni,1981,1981-03-14,"Animation, Adventure, Family",75,Japan,Japanese,Kimio Yabuki,Hiroichi Fuse,Toei Animation,7.8,722,,,,,23.0,
tt0078356,Tusk,1980,1980-11-26,Drama,119,France,"French, English",Alejandro Jodorowsky,"Reginald Campbell, Nicholas Niciphor",Yang Films,4.9,410,$ 1500000,,,,5.0,5.0
tt0078393,Tian can bian,1983,1983-09-30,"Action, Mystery",89,Hong Kong,"Cantonese, Mandarin",Chun-Ku Lu,"Kuo-Yuan Chang, Chun-Ku Lu",Shaw Brothers,7.0,305,,,,,4.0,7.0
tt0078428,Shao Lin yu Wu Dang,1980,1980-04-12,"Action, Drama",101,Hong Kong,Mandarin,Cheh Chang,"Cheh Chang, Kuang Ni",Shaw Brothers,6.4,548,,,,,9.0,16.0
tt0078508,Il mistero di Wolf Lake,1980,1980-02-08,"Drama, Thriller",88,USA,English,Burt Kennedy,Burt Kennedy,Melvin Simon Productions,6.2,247,$ 970000,,,,12.0,7.0
tt0078732,Action,1980,1980-01-04,Drama,121,Italy,Italian,Tinto Brass,"Tinto Brass, Tinto Brass",Attori Registi Solidali (A.R.S.),4.9,275,,,,,2.0,2.0
